 RUN:  data/cwarner/testloc2           
 
YR	DOY	DAY	Rain	Irr	ET	Drain	Roff	NLoad
2003	203	113	66.1	93.1	45.2	35.0	114.5	19.7
2004	221	131	50.1	136.3	57.4	29.2	129.5	19.5
2005	210	120	64.6	102.9	48.3	40.3	119.9	21.2
2006	205	115	59.9	104.8	50.5	32.4	114.8	18.0
2007	212	122	45.2	118.6	51.7	25.8	112.8	16.5
2008	207	117	39.2	94.6	44.3	20.6	90.3	19.7
2009	212	122	75.5	119.9	51.3	46.5	144.7	22.6
Min	203	113	39.2	93.1	44.3	20.6	90.3	16.5
Mean	210	120	57.2285	110.028	49.8142	32.8285	118.071	19.6
Median	210	120	59.9	104.8	50.5	32.4	114.8	19.7
StdDev	5.94418	5.94418	12.8747	15.6198	4.43036	8.75342	16.6610	1.98997
Max	221	131	75.5	136.3	57.4	46.5	144.7	22.6
