 RUN:  data/cwarner/testdate2          
 
YR	DOY	DAY	Rain	Irr	ET	Drain	Roff	NLoad
2000	189	158	25.4	118.0	55.6	11.1	88.5	16.7
2001	181	150	54.4	106.4	49.7	27.1	111.8	20.8
2002	178	147	24.9	106.1	49.5	13.6	82.2	11.2
2003	216	185	92.6	69.3	32.1	71.1	130.4	49.8
2004	187	156	43.8	114.5	51.9	23.6	107.3	18.1
2005	177	146	52.4	82.7	42.9	35.5	93.0	23.6
2006	182	151	62.6	106.2	50.7	46.2	119.0	16.8
2007	186	155	37.1	101.1	50.3	19.7	88.6	20.2
2008	180	149	42.0	105.1	49.7	24.3	98.3	19.0
2009	185	154	45.2	103.2	50.3	31.5	98.7	25.6
Min	177	146	24.9	69.3	32.1	11.1	82.2	11.2
Mean	186.1	155.1	48.04	101.26	48.27	30.37	101.78	22.18
Median	183.5	152.5	44.5	105.6	50	25.7	98.5	19.6
StdDev	11.2195	11.2195	19.6844	14.5839	6.47182	17.6285	15.1973	10.4811
Max	216	185	92.6	118.0	55.6	71.1	130.4	49.8
