 Run: data/cwarner/testloc1           
 
YR	DOY	DAY	Rain	Irrig	ET	Drain	Runoff	Nloss	NConc	HT	TW	P_Area	NupCum
2003	206	116	24.04	51.28	16.71	10.38	58.85	0.74	12.58	45.9	35.0	416.6	0.958
2004	215	125	22.23	68.55	21.32	9.12	69.84	0.66	9.39	46.4	36.6	429.2	1.076
2005	215	125	30.68	63.44	20.03	12.26	74.33	0.66	8.92	45.8	35.1	429.2	1.062
2006	221	131	25.81	93.45	27.32	8.70	92.38	0.61	6.60	45.7	35.4	475.6	1.187
2007	221	131	16.92	75.77	23.54	5.65	69.51	0.59	8.42	45.9	36.0	440.0	1.165
2008	211	121	23.53	67.30	20.74	6.99	70.38	0.60	8.47	46.5	37.4	430.6	1.086
2009	216	126	31.62	82.44	24.18	13.42	90.25	0.67	7.47	45.8	35.6	464.5	1.098
Min	206	116	16.92	51.28	16.71	5.65	58.85	0.59	6.60	45.7	35.0	416.6	0.958
Mean	215	125	24.9757	71.7471	21.9771	9.50285	75.0771	0.64714	8.83571	46	35.8714	440.814	1.09028
Median	215	125	24.04	68.55	21.32	9.12	70.38	0.66	8.47	45.9	35.6	430.6	1.086
StdDev	5.32290	5.32290	5.04613	13.6592	3.39945	2.75878	12.0690	0.05219	1.89315	0.31622	0.86931	21.3391	0.07474
Max	221	131	31.62	93.45	27.32	13.42	92.38	0.74	12.58	46.5	37.4	475.6	1.187
