 Run: data/cwarner/testloc3           
 
YR	DOY	DAY	Rain	Irrig	ET	Drain	Runoff	Nloss	NConc	HT	TW	P_Area	NupCum
2003	195	105	21.58	53.06	16.97	11.47	58.08	0.65	11.12	46.1	36.1	424.4	0.887
2004	205	115	19.21	78.70	23.14	6.22	75.14	0.61	8.18	46.5	36.6	464.6	1.052
2005	200	110	36.39	52.88	17.44	13.63	72.28	0.74	10.21	46.5	36.5	421.2	0.906
2006	198	108	29.67	59.12	18.84	10.24	70.20	0.68	9.69	46.0	36.2	443.4	0.945
2007	197	107	48.81	60.11	18.95	16.57	90.39	0.72	8.00	45.9	36.0	433.0	0.950
2008	195	105	18.04	55.92	18.18	7.09	56.07	0.56	10.02	46.5	36.4	437.1	0.963
2009	201	111	26.32	67.93	20.45	10.70	74.14	0.77	10.40	45.8	35.1	455.4	0.957
Min	195	105	18.04	52.88	16.97	6.22	56.07	0.56	8.00	45.8	35.1	421.2	0.887
Mean	198.714	108.714	28.5742	61.1028	19.1385	10.8457	70.9	0.67571	9.66	46.1857	36.1285	439.871	0.95142
Median	198	108	26.32	59.12	18.84	10.70	72.28	0.68	10.02	46.1	36.2	437.1	0.950
StdDev	3.59231	3.59231	10.9881	9.31264	2.09613	3.57771	11.5109	0.07457	1.15889	0.30783	0.50237	15.8533	0.05250
Max	205	115	48.81	78.70	23.14	16.57	90.39	0.77	11.12	46.5	36.6	464.6	1.052
