 RUN:  data/cwarner/testloc3           
 
YR	DOY	DAY	Rain	Irr	ET	Drain	Roff	NLoad
2003	195	105	58.5	80.9	39.6	42.9	100.6	22.5
2004	205	115	31.3	112.8	48.7	15.5	96.4	15.7
2005	200	110	69.8	82.5	42.0	40.2	111.1	25.8
2006	198	108	51.8	91.6	44.5	27.6	99.2	19.2
2007	197	107	83.1	91.5	43.6	43.7	131.7	20.8
2008	195	105	35.3	89.0	44.3	21.5	80.6	16.0
2009	201	111	54.4	98.8	44.4	33.7	109.6	26.6
Min	195	105	31.3	80.9	39.6	15.5	80.6	15.7
Mean	198.714	108.714	54.8857	92.4428	43.8714	32.1571	104.171	20.9428
Median	198	108	54.4	91.5	44.3	33.7	100.6	20.8
StdDev	3.59231	3.59231	18.1713	10.8041	2.76870	11.0114	15.7521	4.33968
Max	205	115	83.1	112.8	48.7	43.7	131.7	26.6
