 Run: data/cwarner/testdate2          
 
YR	DOY	DAY	Rain	Irrig	ET	Drain	Runoff	Nloss	NConc	HT	TW	P_Area	NupCum
2000	189	158	16.38	78.07	24.31	4.90	70.51	0.60	8.53	45.8	35.8	402.7	1.175
2001	181	150	32.73	71.07	22.06	10.70	82.17	0.71	8.66	45.8	35.5	403.5	1.122
2002	178	147	14.06	70.15	21.71	4.96	62.82	0.50	7.91	46.6	37.1	416.3	1.142
2003	216	185	31.12	48.07	14.66	18.16	64.79	1.35	20.89	46.1	39.0	329.6	0.671
2004	187	156	23.99	78.48	23.78	8.48	79.12	0.59	7.47	46.0	35.4	409.3	1.147
2005	177	146	21.25	52.60	17.47	10.05	56.72	0.64	11.37	46.3	36.2	372.0	0.979
2006	182	151	23.42	69.82	21.96	12.40	71.69	0.48	6.70	46.3	36.6	402.3	1.145
2007	186	155	21.23	64.22	20.85	7.31	64.99	0.60	9.31	46.5	36.6	384.8	1.109
2008	180	149	21.63	69.94	21.69	8.19	70.17	0.59	8.34	46.3	36.1	400.3	1.110
2009	185	154	17.33	67.78	21.63	8.63	63.92	0.72	11.28	46.3	36.9	390.1	1.084
Min	177	146	14.06	48.07	14.66	4.90	56.72	0.48	6.70	45.8	35.4	329.6	0.671
Mean	186.1	155.1	22.314	67.02	21.012	9.378	68.69	0.678	10.046	46.2	36.52	391.09	1.0684
Median	183.5	152.5	21.44	69.88	21.7	8.555	67.58	0.6	8.595	46.3	36.4	401.3	1.116
StdDev	11.2195	11.2195	5.97240	9.84014	2.88259	3.87413	7.70561	0.24818	4.09516	0.27080	1.04008	25.0608	0.14953
Max	216	185	32.73	78.48	24.31	18.16	82.17	1.35	20.89	46.6	39.0	416.3	1.175
