"Florida Occupational Employment and Wages",,,,,,,,,,,
"Florida - Statewide",,,,,,,,,,,
Occupational,,2009,,"(2010 wage estimates in dollars)",,,,,,,
Code,Title,Employment,,Mean,,Median,,Entry**,,Exp***,
00-0000,"Total all occupations","7,355,940",,19.27,,14.82,,9.18,,24.31,
13-2011,"Accountants and Auditors","74,230",,30.55,,27.52,,18.77,,36.45,
27-2011,Actors,"3,150",,15.27,,11.24,,8.51,,18.64,
15-2011,Actuaries,470,,43.85,,42.35,,26.34,,52.61,
11-3011,"Administrative Services Managers","8,790",,47.14,,44.83,,28.34,,56.55,
25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors","2,560",,25.08,,24.41,,16.23,,29.50,
11-2011,"Advertising and Promotions Managers","1,130",,49.73,,44.89,,25.09,,62.04,
41-3011,"Advertising Sales Agents","9,970",,23.42,,19.60,,12.58,,28.83,
17-3021,"Aerospace Engineering and Operations Technicians",260,,26.59,,25.13,,20.71,,29.53,
17-2011,"Aerospace Engineers","4,040",,42.95,,42.79,,30.84,,49.01,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",820,,24.51,,15.44,,11.38,,31.08,
19-4011,"Agricultural and Food Science Technicians",200,,16.33,,15.91,,12.44,,18.28,
17-2021,"Agricultural Engineers",180,,23.88,,21.29,,16.68,,27.47,
45-2091,"Agricultural Equipment Operators","1,200",,11.03,,10.24,,8.45,,12.30,
45-2011,"Agricultural Inspectors",530,,19.06,,17.14,,12.66,,22.25,
25-1041,"Agricultural Sciences Teachers, Postsecondary",580,,"82,990",*,"78,236",*,"43,817",*,"102,577",*
45-2099,"Agricultural Workers, All Other",100,,13.13,,12.37,,8.24,,15.58,
53-2021,"Air Traffic Controllers","1,950",,51.71,,56.16,,27.51,,63.81,
53-1011,"Aircraft Cargo Handling Supervisors",210,,20.89,,18.93,,14.09,,24.28,
49-3011,"Aircraft Mechanics and Service Technicians","7,700",,23.14,,22.56,,15.50,,26.96,
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","2,940",,20.32,,20.56,,15.53,,22.71,
53-2022,"Airfield Operations Specialists",N/R,,22.73,,22.54,,17.65,,25.26,
53-2011,"Airline Pilots, Copilots, and Flight Engineers","2,600",,"151,119",*,"132,585",*,"81,723",*,"185,817",*
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",590,,12.34,,11.95,,9.53,,13.74,
39-3091,"Amusement and Recreation Attendants","27,520",,9.40,,8.49,,7.77,,10.21,
29-1061,Anesthesiologists,"1,660",,108.74,,N/R,,N/R,,N/R,
45-2021,"Animal Breeders",90,,12.88,,10.28,,8.93,,14.86,
33-9011,"Animal Control Workers",770,,16.43,,15.90,,12.35,,18.47,
19-1011,"Animal Scientists",70,,28.16,,21.32,,15.50,,34.49,
39-2011,"Animal Trainers",750,,16.70,,15.35,,9.27,,20.42,
19-3091,"Anthropologists and Archeologists",N/R,,26.38,,24.74,,16.04,,31.54,
25-1061,"Anthropology and Archeology Teachers, Postsecondary",200,,"68,729",*,"65,348",*,"45,083",*,"80,552",*
13-2021,"Appraisers and Assessors of Real Estate","4,680",,25.78,,22.99,,15.36,,30.98,
23-1022,"Arbitrators, Mediators, and Conciliators",N/R,,22.25,,20.02,,14.11,,26.31,
17-1011,"Architects, Except Landscape and Naval","5,140",,36.47,,32.18,,20.78,,44.31,
17-3011,"Architectural and Civil Drafters","8,570",,21.88,,21.14,,14.72,,25.46,
25-1031,"Architecture Teachers, Postsecondary",200,,"77,789",*,"76,029",*,"56,558",*,"88,404",*
25-4011,Archivists,120,,24.55,,18.71,,14.86,,29.40,
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",150,,"74,928",*,"68,982",*,"47,622",*,"88,582",*
27-1011,"Art Directors",960,,32.95,,30.22,,21.80,,38.53,
